longitude,latitude,distance_to_center_km,distance_to_station_km
-73.9994999999999,40.7,7.4725,0.6097
-73.9989999999999,40.7,7.4633,0.5727
-74.01349999999996,40.700500000000005,7.7671,0.1552
-74.01499999999997,40.70100000000001,7.7627,0.207
-74.01449999999997,40.70100000000001,7.7468,0.1697
-74.01399999999997,40.70100000000001,7.731,0.1352
-74.01349999999996,40.70100000000001,7.7154,0.1064
-74.01299999999996,40.70100000000001,7.7,0.0891
-74.01249999999996,40.70100000000001,7.6848,0.0899
-74.01199999999996,40.70100000000001,7.6699,0.1086
-74.01149999999996,40.70100000000001,7.6551,0.1381
-74.00849999999994,40.70100000000001,7.5707,0.3705
-74.01549999999997,40.70150000000001,7.7276,0.2321
-74.01499999999997,40.70150000000001,7.7114,0.1904
-74.01449999999997,40.70150000000001,7.6953,0.149
-74.01399999999997,40.70150000000001,7.6794,0.1082
-74.01349999999996,40.70150000000001,7.6637,0.0689
-74.01299999999996,40.70150000000001,7.6482,0.0368
-74.01249999999996,40.70150000000001,7.6329,0.0389
-74.01199999999996,40.70150000000001,7.6179,0.0723
-74.01149999999996,40.70150000000001,7.603,0.1117
-74.01099999999995,40.70150000000001,7.5883,0.1526
-74.00899999999994,40.70150000000001,7.5317,0.3195
-73.99799999999989,40.70150000000001,7.2824,0.6106
-73.99749999999989,40.70150000000001,7.2736,0.5828
-73.99699999999989,40.70150000000001,7.2651,0.5568
-73.99649999999988,40.70150000000001,7.2569,0.533
-74.01599999999998,40.70200000000001,7.693,0.2732
-74.01549999999997,40.70200000000001,7.6764,0.2312
-74.01499999999997,40.70200000000001,7.66,0.1894
-74.01449999999997,40.70200000000001,7.6439,0.1477
-74.01399999999997,40.70200000000001,7.6279,0.1063
-74.01349999999996,40.70200000000001,7.6121,0.066
-74.01299999999996,40.70200000000001,7.5965,0.0309
-74.01249999999996,40.70200000000001,7.5811,0.0334
-74.01199999999996,40.70200000000001,7.5659,0.0694
-74.01149999999996,40.70200000000001,7.5509,0.1099
-74.01099999999995,40.70200000000001,7.5362,0.1513
-74.01049999999995,40.70200000000001,7.5216,0.1931
-74.00999999999995,40.70200000000001,7.5072,0.2349
-74.00949999999995,40.70200000000001,7.4931,0.2769
-73.99749999999989,40.70200000000001,7.2192,0.6266
-73.99699999999989,40.70200000000001,7.2107,0.6025
-73.99649999999988,40.70200000000001,7.2023,0.5805
-73.99599999999988,40.70200000000001,7.1943,0.5479
-74.01649999999998,40.702500000000015,7.6589,0.3242
-74.01599999999998,40.702500000000015,7.642,0.2836
-74.01549999999997,40.702500000000015,7.6253,0.2434
-74.01499999999997,40.702500000000015,7.6088,0.2041
-74.01449999999997,40.702500000000015,7.5925,0.1661
-74.01399999999997,40.702500000000015,7.5764,0.1307
-74.01349999999996,40.702500000000015,7.5605,0.1007
-74.01299999999996,40.702500000000015,7.5448,0.0821
-74.01249999999996,40.702500000000015,7.5293,0.083
-74.01199999999996,40.702500000000015,7.514,0.103
-74.01149999999996,40.702500000000015,7.4989,0.1337
-74.01099999999995,40.702500000000015,7.4841,0.1694
-74.01049999999995,40.702500000000015,7.4694,0.2075
-74.00999999999995,40.702500000000015,7.4549,0.2469
-74.00949999999995,40.702500000000015,7.4407,0.2871
-74.00899999999994,40.702500000000015,7.4267,0.3278
-74.00849999999994,40.702500000000015,7.4128,0.3689
-74.00549999999993,40.702500000000015,7.3344,0.5683
-73.99699999999989,40.702500000000015,7.1562,0.6489
-73.99649999999988,40.702500000000015,7.1478,0.6139
-73.99599999999988,40.702500000000015,7.1397,0.5799
-73.99549999999988,40.702500000000015,7.1318,0.547
-74.01699999999998,40.70300000000002,7.6252,0.3194
-74.01649999999998,40.70300000000002,7.608,0.288
-74.01599999999998,40.70300000000002,7.591,0.2597
-74.01549999999997,40.70300000000002,7.5742,0.2355
-74.01499999999997,40.70300000000002,7.5576,0.2169
-74.01449999999997,40.70300000000002,7.5412,0.1989
-74.01399999999997,40.70300000000002,7.525,0.1704
-74.01349999999996,40.70300000000002,7.509,0.1487
